id;ner_documento
1;[[0, []], [1, [['São Paulo', 'LOC', 17, 26], ['Centro de Gerenciamento de Emergência', 'LOC', 99, 136], ['CGE', 'LOC', 138, 141], ['Prefeitura', 'LOC', 146, 156]]], [2, [['Marginal Pinheiros', 'LOC', 86, 104], ['Ponte João Dias', 'LOC', 119, 134], ['Marginal Tietê', 'LOC', 141, 155], ['Rodovia dos Bandeirantes', 'LOC', 169, 193]]], [3, [['Companhia de Engenharia de Tráfego', 'ORG', 102, 136], ['CET', 'LOC', 138, 141]]]]
2;[[0, [['República Democrática do Congo', 'LOC', 72, 102]]], [1, [['Bukavu', 'LOC', 158, 164]]], [2, [['Lugushwa', 'LOC', 37, 45], ['Bukavu', 'LOC', 59, 65]]]]
3;[[0, [['Nelson Jobim', 'PER', 22, 34], ['Solange Vieira', 'PER', 96, 110], ['Agência Nacional de Aviação Civil', 'ORG', 150, 183], ['Anac', 'ORG', 185, 189]]], [1, [['Braço', 'LOC', 0, 5], ['BNDES', 'ORG', 80, 85], ['Secretaria de Previdência Complementar', 'MISC', 99, 137], ['Fernando Henrique Cardoso', 'PER', 149, 174]]], [2, []], [3, [['Allemander Jesus Pereira Filho', 'PER', 53, 83], ['Jorge Luiz Brito Velozo', 'PER', 133, 156]]], [4, [['TAM', 'ORG', 49, 52], ['Zuanazzi', 'PER', 123, 131]]]]
4;[[0, [['Observatório Europeu Sul', 'LOC', 22, 46], ['ESO', 'LOC', 48, 51], ['Júpiter', 'LOC', 114, 121], ['Sol', 'LOC', 163, 166]]], [1, []], [2, [['Ray Jayawardhana', 'PER', 0, 16], ['Universidade de Toronto', 'LOC', 21, 44], ['Valentin Ivanov', 'PER', 48, 63], ['Observatório Europeu Austral', 'ORG', 68, 96], ['Science Express', 'MISC', 126, 141], ['Science', 'MISC', 161, 168]]], [3, []]]
5;[[0, [['Bernardinho', 'PER', 60, 71], ['Finlândia', 'LOC', 82, 91], ['Tampere', 'LOC', 164, 171], ['FIN', 'ORG', 173, 176], ['Liga Mundial-06', 'ORG', 212, 227]]], [1, [['Brasil', 'LOC', 25, 31], ['Grupo B.', 'ORG', 63, 71]]], [2, []], [3, []]]
6;[[0, [['Polícia Federal de Rondônia', 'LOC', 30, 57], ['Joaquim Mesquita', 'PER', 68, 84], ['Operação Dominó', 'MISC', 171, 186], ['Rondônia', 'LOC', 191, 199]]], [1, []], [2, [['PF', 'ORG', 23, 25]]], [3, [['Tribunal de Contas', 'ORG', 103, 121]]], [4, [['PF', 'ORG', 2, 4], ['Amazonas', 'LOC', 53, 61], ['Distrito Federal', 'LOC', 63, 79], ['Mato Grosso', 'LOC', 81, 92], ['Acre', 'LOC', 94, 98], ['Rondônia', 'LOC', 104, 112], ['Operação Dominó', 'MISC', 147, 162]]]]
7;[[0, [['Líbano', 'LOC', 62, 68], ['Estado', 'LOC', 91, 97], ['Hisbolá', 'ORG', 129, 136], ['Bint Djebeil', 'LOC', 162, 174], ['Kafr Hula', 'LOC', 177, 186]]], [1, [['Hezbolá', 'ORG', 103, 110]]], [2, [['Líbano', 'LOC', 2, 8], ['Conselho de Segurança da Organização das Nações Unidas', 'ORG', 40, 94], ['ONU', 'ORG', 96, 99], ['Oriente Médio', 'LOC', 167, 180]]], [3, [['Conselho de Segurança da ONU', 'ORG', 19, 47], ['Estados Unidos', 'LOC', 116, 130], ['França', 'LOC', 138, 144], ['Líbano', 'LOC', 238, 244]]]]
8;[[0, [['cidade de São Paulo', 'LOC', 2, 21]]], [1, []], [2, []], [3, []], [4, [['Primeiro Comando da Capital', 'MISC', 0, 27], ['PCC', 'ORG', 30, 33]]], [5, [['Ministério Público Estadual', 'LOC', 64, 91]]], [6, [['ABC', 'LOC', 72, 75]]], [7, [['PCC', 'ORG', 31, 34], ['Ministério Público de São Paulo', 'LOC', 84, 115], ['Dia dos Pais', 'MISC', 167, 179]]], [8, [['Ministério Público', 'LOC', 56, 74]]]]
9;[[0, [['Coréia do Norte', 'LOC', 133, 148], ['Japão', 'LOC', 205, 210], ['Pyongyang', 'LOC', 241, 250]]], [1, [['Choson Sinbo', 'MISC', 18, 30], ['Associação de Residentes Coreanos', 'ORG', 48, 81], ['Japão', 'LOC', 85, 90], ['Coréia do Norte', 'LOC', 129, 144]]], [2, [['Yonhap', 'ORG', 22, 28], ['Pyongyang', 'LOC', 77, 86]]]]
10;[[0, [['Ação Contra a Fome', 'MISC', 36, 54], ['ACF', 'MISC', 56, 59], ['Sri Lanka', 'LOC', 96, 105]]], [1, [['Muttur', 'LOC', 35, 41], ['Exército', 'ORG', 120, 128], ['Sri Lanka', 'LOC', 132, 141], ['Tigres de Libertação da Pátria Tâmil', 'ORG', 160, 196], ['LTTE', 'ORG', 198, 202]]], [2, []], [3, []], [4, []]]
